Single capacitor:
60  (x1)
260/9 = 28.8889  (x10)
840/29 = 28.9655  (x8)
840/29 = 28.9655  (x10)
900/31 = 29.0323  (x8)
900/31 = 29.0323  (x10)
465/16 = 29.0625  (x10)
320/11 = 29.0909  (x10)
495/17 = 29.1176  (x10)
204/7 = 29.1429  (x9)
204/7 = 29.1429  (x10)
175/6 = 29.1667  (x10)
1080/37 = 29.1892  (x9)
1080/37 = 29.1892  (x10)
555/19 = 29.2105  (x10)
380/13 = 29.2308  (x10)
117/4 = 29.25  (x10)
1200/41 = 29.2683  (x9)
1200/41 = 29.2683  (x10)
1260/43 = 29.3023  (x9)
1260/43 = 29.3023  (x10)
88/3 = 29.3333  (x9)
88/3 = 29.3333  (x10)
1380/47 = 29.3617  (x9)
1440/49 = 29.3878  (x9)
500/17 = 29.4118  (x9)
1560/53 = 29.434  (x9)
1560/53 = 29.434  (x10)
324/11 = 29.4545  (x10)
560/19 = 29.4737  (x10)
1740/59 = 29.4915  (x10)
1800/61 = 29.5082  (x10)
384/13 = 29.5385  (x10)
1980/67 = 29.5522  (x10)
680/23 = 29.5652  (x10)
2100/71 = 29.5775  (x10)
148/5 = 29.6  (x10)
2280/77 = 29.6104  (x10)
2340/79 = 29.6203  (x10)
800/27 = 29.6296  (x10)
2460/83 = 29.6386  (x10)
504/17 = 29.6471  (x10)
30  (x2)
30  (x5)
30  (x7)
30  (x8)
30  (x9)
30  (x10)
516/17 = 30.3529  (x10)
2520/83 = 30.3614  (x10)
820/27 = 30.3704  (x10)
2400/79 = 30.3797  (x10)
2340/77 = 30.3896  (x10)
152/5 = 30.4  (x10)
2160/71 = 30.4225  (x10)
700/23 = 30.4348  (x10)
2040/67 = 30.4478  (x10)
396/13 = 30.4615  (x10)
1860/61 = 30.4918  (x10)
1800/59 = 30.5085  (x10)
580/19 = 30.5263  (x10)
336/11 = 30.5455  (x10)
1620/53 = 30.566  (x9)
520/17 = 30.5882  (x9)
1500/49 = 30.6122  (x9)
1440/47 = 30.6383  (x9)
92/3 = 30.6667  (x9)
92/3 = 30.6667  (x10)
1320/43 = 30.6977  (x9)
1320/43 = 30.6977  (x10)
1260/41 = 30.7317  (x9)
1260/41 = 30.7317  (x10)
123/4 = 30.75  (x10)
400/13 = 30.7692  (x9)
400/13 = 30.7692  (x10)
585/19 = 30.7895  (x10)
1140/37 = 30.8108  (x9)
1140/37 = 30.8108  (x10)
216/7 = 30.8571  (x9)
216/7 = 30.8571  (x10)
525/17 = 30.8824  (x10)
340/11 = 30.9091  (x10)
495/16 = 30.9375  (x10)
960/31 = 30.9677  (x8)
960/31 = 30.9677  (x10)
900/29 = 31.0345  (x8)
900/29 = 31.0345  (x10)
280/9 = 31.1111  (x8)
280/9 = 31.1111  (x9)
280/9 = 31.1111  (x10)
2460/79 = 31.1392  (x10)
156/5 = 31.2  (x8)
156/5 = 31.2  (x9)
156/5 = 31.2  (x10)
2280/73 = 31.2329  (x10)
2220/71 = 31.2676  (x10)
720/23 = 31.3043  (x8)
720/23 = 31.3043  (x9)
720/23 = 31.3043  (x10)
2100/67 = 31.3433  (x10)
345/11 = 31.3636  (x9)
345/11 = 31.3636  (x10)
408/13 = 31.3846  (x10)
220/7 = 31.4286  (x7)
220/7 = 31.4286  (x10)
63/2 = 31.5  (x9)
1860/59 = 31.5254  (x10)
600/19 = 31.5789  (x7)
600/19 = 31.5789  (x10)
1170/37 = 31.6216  (x10)
348/11 = 31.6364  (x9)
2820/89 = 31.6854  (x10)
222/7 = 31.7143  (x10)
540/17 = 31.7647  (x8)
540/17 = 31.7647  (x10)
2640/83 = 31.8072  (x10)
350/11 = 31.8182  (x10)
1560/49 = 31.8367  (x9)
1560/49 = 31.8367  (x10)
860/27 = 31.8519  (x10)
255/8 = 31.875  (x9)
255/8 = 31.875  (x10)
2520/79 = 31.8987  (x10)
1500/47 = 31.9149  (x9)
990/31 = 31.9355  (x10)
32  (x8)
32  (x9)
32  (x10)
2340/73 = 32.0548  (x10)
1380/43 = 32.093  (x9)
1380/43 = 32.093  (x10)
2280/71 = 32.1127  (x10)
225/7 = 32.1429  (x8)
225/7 = 32.1429  (x9)
225/7 = 32.1429  (x10)
1320/41 = 32.1951  (x9)
2160/67 = 32.2388  (x10)
420/13 = 32.3077  (x6)
420/13 = 32.3077  (x8)
420/13 = 32.3077  (x9)
420/13 = 32.3077  (x10)
615/19 = 32.3684  (x10)
680/21 = 32.381  (x10)
1200/37 = 32.4324  (x9)
1200/37 = 32.4324  (x10)
1980/61 = 32.459  (x10)
65/2 = 32.5  (x9)
2700/83 = 32.5301  (x10)
228/7 = 32.5714  (x10)
750/23 = 32.6087  (x9)
620/19 = 32.6316  (x10)
360/11 = 32.7273  (x6)
360/11 = 32.7273  (x7)
360/11 = 32.7273  (x8)
360/11 = 32.7273  (x9)
360/11 = 32.7273  (x10)
1410/43 = 32.7907  (x10)
164/5 = 32.8  (x10)
525/16 = 32.8125  (x10)
230/7 = 32.8571  (x10)
2400/73 = 32.8767  (x10)
1020/31 = 32.9032  (x8)
1020/31 = 32.9032  (x9)
560/17 = 32.9412  (x10)
33  (x8)
33  (x10)
2940/89 = 33.0337  (x10)
760/23 = 33.0435  (x10)
1620/49 = 33.0612  (x9)
1620/49 = 33.0612  (x10)
960/29 = 33.1034  (x9)
960/29 = 33.1034  (x10)
2220/67 = 33.1343  (x10)
630/19 = 33.1579  (x10)
564/17 = 33.1765  (x10)
1560/47 = 33.1915  (x9)
1560/47 = 33.1915  (x10)
465/14 = 33.2143  (x10)
1230/37 = 33.2432  (x10)
100/3 = 33.3333  (x6)
100/3 = 33.3333  (x7)
100/3 = 33.3333  (x9)
100/3 = 33.3333  (x10)
2640/79 = 33.4177  (x10)
234/7 = 33.4286  (x10)
2040/61 = 33.4426  (x10)
435/13 = 33.4615  (x10)
1440/43 = 33.4884  (x10)
570/17 = 33.5294  (x8)
570/17 = 33.5294  (x9)
1980/59 = 33.5593  (x10)
168/5 = 33.6  (x8)
370/11 = 33.6364  (x10)
1380/41 = 33.6585  (x9)
640/19 = 33.6842  (x10)
3000/89 = 33.7079  (x10)
135/4 = 33.75  (x7)
135/4 = 33.75  (x9)
135/4 = 33.75  (x10)
980/29 = 33.7931  (x10)
2400/71 = 33.8028  (x10)
372/11 = 33.8182  (x9)
372/11 = 33.8182  (x10)
440/13 = 33.8462  (x9)
440/13 = 33.8462  (x10)
1050/31 = 33.871  (x10)
780/23 = 33.913  (x8)
780/23 = 33.913  (x9)
780/23 = 33.913  (x10)
645/19 = 33.9474  (x10)
1800/53 = 33.9623  (x9)
1800/53 = 33.9623  (x10)
34  (x9)
34  (x10)
1260/37 = 34.0541  (x9)
1260/37 = 34.0541  (x10)
920/27 = 34.0741  (x10)
375/11 = 34.0909  (x9)
580/17 = 34.1176  (x10)
990/29 = 34.1379  (x10)
444/13 = 34.1538  (x10)
205/6 = 34.1667  (x10)
2700/79 = 34.1772  (x10)
240/7 = 34.2857  (x5)
